Region, Product   , Customer, SalesRep, OrderDate , Revenue , OrderValue, Quantity
North , Laptop    , Alice   , John    , 2024-01-15, $1200.00,    1200   ,        2
South , Phone     , Bob     , Jane    , 2024-01-16, 850.50  ,     850.50,        1
East  , Tablet    , Charlie , Mike    , 2024-01-17, INVALID ,     430.00,        3
West  , Monitor   , Dave    , Sara    , 2024-01-18, 980.00  ,     980.00,        2
North , Laptop    , Eve     , John    , 2024-01-19, 1200.00 ,    1200.00,        2
      , Keyboard  ,         , Sara    , 2024-01-20, 150.00  ,     150.00,        5
South , Phone     , Frank   , Jane    , 2024-01-21, £920.00 ,     920.00,        1
East  , Tablet    , Grace   , Mike    , 2024-01-22, 430.00  ,     430.00,        1
West  ,           , Henry   , Sara    , 2024-01-23, 760.00  ,     760.00,        2
North , Laptop    , Alice   , John    , 2024-01-15, $1200.00,    1200   ,        2
South , Headphones, Ivy     , Jane    , 2024-01-24, 220.00  ,     220.00,        4
East  , Tablet    , Jack    , Mike    ,           , 530.00  ,     530.00,        2
West  , Monitor   , Karen   , Sara    , 2024-01-26, 1100.00 ,    1100.00,        3
North , Phone     , Leo     , John    , 2024-01-27, 870.00  ,     870.00,        1
South , Laptop    , Mia     , Jane    , 2024-01-28, 1350.00 ,    1350.00,        2
East  , Keyboard  , Nina    , Mike    , 2024-01-29, 180.00  ,     180.00,        6
West  , Headphones, Oscar   , Sara    , 2024-01-30, 250.00  ,     250.00,        3
North , Monitor   , Paul    , John    , 2024-01-31, 990.00  ,     990.00,        2
South , Tablet    , Quinn   , Jane    , 2024-02-01, 460.00  ,     460.00,        1
East  , Phone     , Rose    , Mike    , 2024-02-02, 910.00  ,     910.00,        2
